"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.582836526018392,0.121606064123907,0.0427561966662195,0.747198786808519,"iter_1",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_1","scenario4",270
"2","2",0.263643907316396,0.309186165777433,0.00627419824619668,0.579104271340026,"iter_1",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_1","scenario4",77
"3","3",0.446981663759707,0.181861004117959,0.177410788730692,0.806253456608358,"iter_1",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_1","scenario4",268
"4","4",0.24781488692287,0.290906199753874,0.241634003879505,0.780355090556249,"iter_1",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_1","scenario4",220
"5","5",0.213722011051312,0.340434923714297,0.278162937220621,0.832319871986231,"iter_1",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_1","scenario4",309
"6","6",0.0989382742364832,0.353506198675466,0.394905564616338,0.847350037528287,"iter_1",0.385714285714286,1,0.4,0.005,1.5,1.5,"spp6_iter_1","scenario4",281
"7","7",0.0478140764505667,0.325710531892187,0.444683553937482,0.818208162280236,"iter_1",0.442857142857143,1,0.4,0.005,1.5,1.5,"spp7_iter_1","scenario4",344
"8","8",0.0388240749511196,0.275047736723444,0.53788528013582,0.851757091810384,"iter_1",0.5,1,0.4,0.005,1.5,1.5,"spp8_iter_1","scenario4",333
"9","9",0.0516221980663091,0.281418911611977,0.532196447193571,0.865237556871857,"iter_1",0.557142857142857,1,0.4,0.005,1.5,1.5,"spp9_iter_1","scenario4",363
"10","10",0.102872956478267,0.339850471005068,0.411776435029222,0.854499862512557,"iter_1",0.614285714285714,1,0.4,0.005,1.5,1.5,"spp10_iter_1","scenario4",322
"11","11",0.172960878926017,0.246510283344857,0.307576638680737,0.727047800951611,"iter_1",0.671428571428571,1,0.4,0.005,1.5,1.5,"spp11_iter_1","scenario4",245
"12","12",0.279511565412713,0.22951030298172,0.198660317567365,0.707682185961799,"iter_1",0.728571428571429,1,0.4,0.005,1.5,1.5,"spp12_iter_1","scenario4",245
"13","13",0.379417507475867,0.232196392511569,0.0803485943595945,0.69196249434703,"iter_1",0.785714285714286,1,0.4,0.005,1.5,1.5,"spp13_iter_1","scenario4",255
"14","14",0.280362805948932,0.264086704195925,0,0.544449510144856,"iter_1",0.842857142857143,1,0.4,0.005,1.5,1.5,"spp14_iter_1","scenario4",109
"15","15",0.502015578684335,0.156354982462673,0.00468034395916583,0.663050905106173,"iter_1",0.9,1,0.4,0.005,1.5,1.5,"spp15_iter_1","scenario4",227
"16","1",0.600291722872058,0.159415634583064,0.0274601574626695,0.787167514917791,"iter_2",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_2","scenario4",289
"17","2",0.302342789056835,0.354790820191522,0,0.657133609248357,"iter_2",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_2","scenario4",71
"18","3",0.374919255040102,0.265242723546804,0.0769464909359027,0.717108469522808,"iter_2",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_2","scenario4",283
"19","4",0.231298925938886,0.291023856973161,0.256401910156533,0.77872469306858,"iter_2",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_2","scenario4",208
"20","5",0.230994297189577,0.202201484977712,0.374360013135672,0.807555795302962,"iter_2",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_2","scenario4",273
"21","6",0.165609789779189,0.235556560167714,0.457358026899033,0.858524376845936,"iter_2",0.385714285714286,1,0.4,0.005,1.5,1.5,"spp6_iter_2","scenario4",321
"22","7",0.0525135359232731,0.250929863356954,0.56586869976832,0.869312099048548,"iter_2",0.442857142857143,1,0.4,0.005,1.5,1.5,"spp7_iter_2","scenario4",286
"23","8",0.0347118826079607,0.392825493732052,0.442708875042856,0.870246251382869,"iter_2",0.5,1,0.4,0.005,1.5,1.5,"spp8_iter_2","scenario4",369
"24","9",0.0495892081775836,0.499023741779079,0.366514428917832,0.915127378874495,"iter_2",0.557142857142857,1,0.4,0.005,1.5,1.5,"spp9_iter_2","scenario4",328
"25","10",0.134234314283693,0.377706622250196,0.313484282863336,0.825425219397225,"iter_2",0.614285714285714,1,0.4,0.005,1.5,1.5,"spp10_iter_2","scenario4",344
"26","11",0.169376959977971,0.331499221552728,0.214212828198927,0.715089009729626,"iter_2",0.671428571428571,1,0.4,0.005,1.5,1.5,"spp11_iter_2","scenario4",244
"27","12",0.235420480118854,0.26575762596867,0.200927289378687,0.702105395466211,"iter_2",0.728571428571429,1,0.4,0.005,1.5,1.5,"spp12_iter_2","scenario4",227
"28","13",0.390074524634806,0.164930539811796,0.168506597423016,0.723511661869618,"iter_2",0.785714285714286,1,0.4,0.005,1.5,1.5,"spp13_iter_2","scenario4",290
"29","14",0.229733237812995,0.332922912423616,0,0.562656150236611,"iter_2",0.842857142857143,1,0.4,0.005,1.5,1.5,"spp14_iter_2","scenario4",95
"30","15",0.619957988770288,0.0764528435503581,0.0231029824014389,0.719513814722085,"iter_2",0.9,1,0.4,0.005,1.5,1.5,"spp15_iter_2","scenario4",250
"31","1",0.636173186136492,0.0855573874187968,0.0133466704984203,0.735077244053709,"iter_3",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_3","scenario4",323
"32","2",0.178309669737883,0.450028694967458,0,0.62833836470534,"iter_3",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_3","scenario4",71
"33","3",0.401283371392505,0.15688715432747,0.0542244834728628,0.612395009192838,"iter_3",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_3","scenario4",283
"34","4",0.241743852445372,0.283209005585809,0.116253898662044,0.641206756693226,"iter_3",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_3","scenario4",199
"35","5",0.22372087231006,0.311792722879189,0.180010567153415,0.715524162342664,"iter_3",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_3","scenario4",287
"36","6",0.136177941987431,0.285587297052173,0.404653020337816,0.82641825937742,"iter_3",0.385714285714286,1,0.4,0.005,1.5,1.5,"spp6_iter_3","scenario4",268
"37","7",0.0604071226024295,0.36488783493043,0.502002080353211,0.927297037886071,"iter_3",0.442857142857143,1,0.4,0.005,1.5,1.5,"spp7_iter_3","scenario4",386
"38","8",0.0345865668315141,0.432634460269931,0.43533914795253,0.902560175053974,"iter_3",0.5,1,0.4,0.005,1.5,1.5,"spp8_iter_3","scenario4",317
"39","9",0.057879349191575,0.312508846449083,0.381425567294793,0.751813762935451,"iter_3",0.557142857142857,1,0.4,0.005,1.5,1.5,"spp9_iter_3","scenario4",378
"40","10",0.105239060733284,0.316180409004335,0.416430393881538,0.837849863619156,"iter_3",0.614285714285714,1,0.4,0.005,1.5,1.5,"spp10_iter_3","scenario4",238
"41","11",0.2300928734302,0.255986768365995,0.361902913829894,0.847982555626088,"iter_3",0.671428571428571,1,0.4,0.005,1.5,1.5,"spp11_iter_3","scenario4",331
"42","12",0.217285231632174,0.319279282939204,0.225259378492585,0.761823893063964,"iter_3",0.728571428571429,1,0.4,0.005,1.5,1.5,"spp12_iter_3","scenario4",194
"43","13",0.345000494888058,0.172917333314826,0.132949038963778,0.650866867166662,"iter_3",0.785714285714286,1,0.4,0.005,1.5,1.5,"spp13_iter_3","scenario4",275
"44","14",0.223109260124969,0.34860638008447,0.0161378446939093,0.587853484903349,"iter_3",0.842857142857143,1,0.4,0.005,1.5,1.5,"spp14_iter_3","scenario4",90
"45","15",0.56235462500912,0.0839625050249144,0.0400970132538397,0.686414143287874,"iter_3",0.9,1,0.4,0.005,1.5,1.5,"spp15_iter_3","scenario4",261
"46","1",0.610376918976414,0.108079432099966,0.0514582452347383,0.769914596311118,"iter_4",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_4","scenario4",293
"47","2",0.287451549880873,0.237381230850105,0.0183486059530579,0.543181386684036,"iter_4",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_4","scenario4",79
"48","3",0.433272704963926,0.136245086460411,0.146379214974654,0.715897006398991,"iter_4",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_4","scenario4",292
"49","4",0.20130227592374,0.288648376216801,0.244396958840054,0.734347610980596,"iter_4",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_4","scenario4",186
"50","5",0.237361621105214,0.223837836064435,0.424254124352014,0.885453581521664,"iter_4",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_4","scenario4",326
"51","6",0.127651745662528,0.183430215558879,0.588106457790237,0.899188419011644,"iter_4",0.385714285714286,1,0.4,0.005,1.5,1.5,"spp6_iter_4","scenario4",298
"52","7",0.0840755905984867,0.225709133745044,0.521442542546591,0.831227266890122,"iter_4",0.442857142857143,1,0.4,0.005,1.5,1.5,"spp7_iter_4","scenario4",344
"53","8",0.015906434008442,0.286852060350892,0.561721046648894,0.864479541008229,"iter_4",0.5,1,0.4,0.005,1.5,1.5,"spp8_iter_4","scenario4",303
"54","9",0.0610950266324642,0.344789637448995,0.499125870541043,0.905010534622502,"iter_4",0.557142857142857,1,0.4,0.005,1.5,1.5,"spp9_iter_4","scenario4",411
"55","10",0.103912103469346,0.390714422491327,0.391367888038539,0.885994413999212,"iter_4",0.614285714285714,1,0.4,0.005,1.5,1.5,"spp10_iter_4","scenario4",256
"56","11",0.242756767043329,0.139909770104241,0.29741468347768,0.68008122062525,"iter_4",0.671428571428571,1,0.4,0.005,1.5,1.5,"spp11_iter_4","scenario4",332
"57","12",0.178920909957384,0.351925527623888,0.0740177029120446,0.604864140493317,"iter_4",0.728571428571429,1,0.4,0.005,1.5,1.5,"spp12_iter_4","scenario4",174
"58","13",0.431790304606022,0.203165377790018,0.0276538367579614,0.662609519154001,"iter_4",0.785714285714286,1,0.4,0.005,1.5,1.5,"spp13_iter_4","scenario4",327
"59","14",0.197925676567197,0.546637789043671,0,0.744563465610868,"iter_4",0.842857142857143,1,0.4,0.005,1.5,1.5,"spp14_iter_4","scenario4",61
"60","15",0.562961809754167,0.134223829747317,0,0.697185639501484,"iter_4",0.9,1,0.4,0.005,1.5,1.5,"spp15_iter_4","scenario4",276
"61","1",0.575409661615974,0.0817470519317735,0.057043459379038,0.714200172926785,"iter_5",0.1,1,0.4,0.005,1.5,1.5,"spp1_iter_5","scenario4",297
"62","2",0.256932792707465,0.408026141888768,0.00133674728971589,0.666295681885949,"iter_5",0.157142857142857,1,0.4,0.005,1.5,1.5,"spp2_iter_5","scenario4",81
"63","3",0.386372899730609,0.169769628809176,0.174133261507856,0.730275790047641,"iter_5",0.214285714285714,1,0.4,0.005,1.5,1.5,"spp3_iter_5","scenario4",264
"64","4",0.250899062289175,0.276955737494761,0.271977170436467,0.799831970220404,"iter_5",0.271428571428571,1,0.4,0.005,1.5,1.5,"spp4_iter_5","scenario4",208
"65","5",0.205259755135535,0.282131223912854,0.314264311391528,0.801655290439917,"iter_5",0.328571428571429,1,0.4,0.005,1.5,1.5,"spp5_iter_5","scenario4",294
