"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.208729367829409,0.373881530110173,0,0.582610897939582,"iter_1",0.1,0.2,0.4,0.005,1.5,1.5,"spp1_iter_1","scenario3",30
"2","2",0.372847170302975,0.00963038452285014,0,0.382477554825825,"iter_1",0.157142857142857,0.2,0.4,0.005,1.5,1.5,"spp2_iter_1","scenario3",10
"3","3",0.226083593501595,0.351732371543554,0,0.577815965045149,"iter_1",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp3_iter_1","scenario3",31
"4","4",0.22589300601437,0.208508023926092,0,0.434401029940462,"iter_1",0.271428571428571,0.2,0.4,0.005,1.5,1.5,"spp4_iter_1","scenario3",13
"5","5",0.430718840591374,0.107682393712139,0,0.538401234303513,"iter_1",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp5_iter_1","scenario3",26
"6","6",0.508363412516007,0.0712827391597263,0,0.579646151675733,"iter_1",0.385714285714286,0.2,0.4,0.005,1.5,1.5,"spp6_iter_1","scenario3",26
"7","7",0.439987281593736,0.0874233307800373,0,0.527410612373773,"iter_1",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp7_iter_1","scenario3",18
"8","8",0.181347673079297,0.370412248799473,0,0.55175992187877,"iter_1",0.5,0.2,0.4,0.005,1.5,1.5,"spp8_iter_1","scenario3",24
"9","9",0.187182980712323,0.304982281930734,0,0.492165262643057,"iter_1",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp9_iter_1","scenario3",20
"10","10",0.186759911128474,0.253115489939792,0,0.439875401068266,"iter_1",0.614285714285714,0.2,0.4,0.005,1.5,1.5,"spp10_iter_1","scenario3",14
"11","11",0.158104273771458,0.30427386062477,0,0.462378134396227,"iter_1",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp11_iter_1","scenario3",18
"12","12",0.392476792677798,0.126576335326627,0,0.519053128004424,"iter_1",0.728571428571429,0.2,0.4,0.005,1.5,1.5,"spp12_iter_1","scenario3",21
"13","13",0.397385762938145,0.141685296286584,0,0.539071059224729,"iter_1",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp13_iter_1","scenario3",19
"14","14",0.106134365087544,0.377094314062463,0,0.483228679150007,"iter_1",0.842857142857143,0.2,0.4,0.005,1.5,1.5,"spp14_iter_1","scenario3",18
"15","15",0.273430709684874,0.324485609890354,0,0.597916319575227,"iter_1",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_1","scenario3",37
"16","1",0.530870998638823,0.123311192132702,0,0.654182190771525,"iter_2",0.1,0.2,0.4,0.005,1.5,1.5,"spp1_iter_2","scenario3",31
"17","2",0.471923358806858,0,0,0.471923358806858,"iter_2",0.157142857142857,0.2,0.4,0.005,1.5,1.5,"spp2_iter_2","scenario3",10
"18","3",0.553141675098603,0.0643853599446604,0,0.617527035043263,"iter_2",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp3_iter_2","scenario3",23
"19","4",0.572502138984461,0,0,0.572502138984461,"iter_2",0.271428571428571,0.2,0.4,0.005,1.5,1.5,"spp4_iter_2","scenario3",16
