"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"36","6",0.269899252301722,0.389241642262455,0,0.659140894564177,"iter_3",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_3","scenario3",33
"37","7",0.531036818707521,0.132164499797109,0,0.66320131850463,"iter_3",0.9,0.2,0.4,0.005,0,0,"spp7_iter_3","scenario3",26
"38","8",0.527875260722676,0.131750551538779,0,0.659625812261455,"iter_3",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_3","scenario3",29
"39","9",0.484654462191972,0.178055392968491,0,0.662709855160463,"iter_3",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_3","scenario3",26
"40","10",0.380647007954745,0.230401472909515,0,0.611048480864261,"iter_3",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_3","scenario3",35
"41","11",0.396840851976221,0.297593834920358,0,0.694434686896579,"iter_3",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_3","scenario3",62
"42","12",0.651144250747802,0.121654417707945,0,0.772798668455747,"iter_3",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_3","scenario3",52
"43","13",0.610977390387589,0.137819203074698,0,0.748796593462287,"iter_3",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_3","scenario3",75
"44","14",0.553258668849239,0.197540502088192,0,0.75079917093743,"iter_3",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_3","scenario3",63
"45","15",0.35889220441827,0.252892350858556,0.0206232378181286,0.632407793094955,"iter_3",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_3","scenario3",71
"46","1",0.0930512502999166,0.416053258706923,0,0.50910450900684,"iter_4",0.1,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario3",18
"47","2",0.317386241541302,0.0677517284859883,0,0.38513797002729,"iter_4",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario3",11
"48","3",0.237287522246108,0.203942857008245,0,0.441230379254352,"iter_4",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_4","scenario3",14
"49","4",0.484890776822974,0.0417890981384461,0,0.52667987496142,"iter_4",0.5,0.2,0.4,0.005,0,0,"spp4_iter_4","scenario3",15
"50","5",0.257807814092435,0.27733308652801,0,0.535140900620445,"iter_4",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_4","scenario3",22
"51","6",0.187780244862081,0.446295727117965,0,0.634075971980046,"iter_4",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_4","scenario3",40
"52","7",0.272466404242869,0.293797735804319,0,0.566264140047188,"iter_4",0.9,0.2,0.4,0.005,0,0,"spp7_iter_4","scenario3",33
"53","8",0.529103978260831,0.125514683907373,0,0.654618662168204,"iter_4",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_4","scenario3",25
"54","9",0.373498887857381,0,0,0.373498887857381,"iter_4",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_4","scenario3",9
"55","10",0.441849523172479,0.235461492005362,0,0.677311015177841,"iter_4",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_4","scenario3",36
"56","11",0.360076402768347,0.309330075328002,0,0.669406478096349,"iter_4",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_4","scenario3",74
"57","12",0.274182160157556,0.304474010968803,0,0.578656171126359,"iter_4",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_4","scenario3",50
"58","13",0.61039757326135,0.149392680062845,0,0.759790253324195,"iter_4",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_4","scenario3",61
"59","14",0.53919275555293,0.168415929662039,0,0.707608685214969,"iter_4",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_4","scenario3",43
"60","15",0.410056893283663,0.318797211783517,0,0.728854105067181,"iter_4",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_4","scenario3",81
"61","1",0,0.376103646817034,0,0.376103646817034,"iter_5",0.1,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario3",8
"62","2",0.423606520294089,0.0763531686562065,0,0.499959688950296,"iter_5",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario3",13
"63","3",0.233003876490643,0.19882054532641,0,0.431824421817053,"iter_5",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_5","scenario3",11
"64","4",0.203058844625274,0.329622548108134,0,0.532681392733408,"iter_5",0.5,0.2,0.4,0.005,0,0,"spp4_iter_5","scenario3",15
"65","5",0.38661858019724,0.167985196421068,0,0.554603776618309,"iter_5",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_5","scenario3",23
"66","6",0.129104683333966,0.417054747667035,0,0.546159431001001,"iter_5",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_5","scenario3",23
"67","7",0.453444150824173,0.0712934241422021,0,0.524737574966375,"iter_5",0.9,0.2,0.4,0.005,0,0,"spp7_iter_5","scenario3",13
"68","8",0.523784670241446,0.0970156680163247,0,0.62080033825777,"iter_5",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_5","scenario3",20
"69","9",0.49676222964477,0,0,0.49676222964477,"iter_5",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_5","scenario3",12
"70","10",0.194220975850587,0.362920714131614,0,0.557141689982201,"iter_5",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_5","scenario3",29
"71","11",0.379880317944203,0.292577303365445,0,0.672457621309648,"iter_5",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_5","scenario3",82
"72","12",0.533722757243615,0.217919246693961,0,0.751642003937576,"iter_5",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_5","scenario3",54
"73","13",0.658129659476647,0.127390354679933,0,0.78552001415658,"iter_5",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_5","scenario3",56
"74","14",0.608711687036186,0.11711218514897,0,0.725823872185157,"iter_5",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_5","scenario3",45
"75","15",0.324706057184526,0.271989810757054,0,0.596695867941581,"iter_5",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_5","scenario3",66
