"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.257147824856377,0.117902399234511,0,0.375050224090888,"iter_1",0.8,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario7",40
"2","2",0.29738300294851,0.138921239510155,0,0.436304242458665,"iter_1",0.2,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario7",50
"3","1",0.176472831134087,0.134108983104014,0,0.310581814238101,"iter_2",0.8,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario7",25
"4","2",0.340355705529237,0.0646405726392011,0,0.404996278168438,"iter_2",0.2,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario7",51
"5","1",0.560242106714228,0,0,0.560242106714228,"iter_3",0.8,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario7",41
"6","2",0.228085336616426,0.145362142469671,0,0.373447479086097,"iter_3",0.2,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario7",59
"7","1",0.326984754687919,0,0,0.326984754687919,"iter_4",0.8,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario7",40
"8","2",0.57332404128935,0,0,0.57332404128935,"iter_4",0.2,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario7",40
"9","1",0.1590586556791,0.158406475990142,0,0.317465131669243,"iter_5",0.8,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario7",43
"10","2",0.135992817880796,0.289025871130442,0,0.425018689011238,"iter_5",0.2,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario7",43
