"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",7.20483978526243e-06,2.52042095474318e-05,0,3.24090493326943e-05,"iter1","site1","site1_iter1","scenario7",0
"2",7.62712022470164e-06,4.3246633424941e-06,0,1.19517835671957e-05,"iter1","site2","site2_iter1","scenario7",0
"3",0,4.13371028717757e-05,0,4.13371028717757e-05,"iter1","site3","site3_iter1","scenario7",0
"4",9.64233948238748e-05,4.90528976877184e-06,0,0.000101328684592647,"iter1","site4","site4_iter1","scenario7",0
"5",4.82189073748971e-05,0.000111110039255755,0,0.000159328946630652,"iter1","site5","site5_iter1","scenario7",0
"6",0.000106085173048946,0.00010052633868923,0,0.000206611511738176,"iter1","site6","site6_iter1","scenario7",0
"7",8.91022329026611e-05,0,0,8.91022329026611e-05,"iter1","site7","site7_iter1","scenario7",0
"8",5.87730700808912e-06,4.33485063005313e-05,0,4.92258133086204e-05,"iter1","site8","site8_iter1","scenario7",0
"9",6.07208017559986e-06,0,0,6.07208017559986e-06,"iter1","site9","site9_iter1","scenario7",0
"10",8.92329213139825e-05,0,0,8.92329213139825e-05,"iter1","site10","site10_iter1","scenario7",0
"11",4.25824623778945e-05,9.81272380605658e-06,0,5.23951861839511e-05,"iter1","site11","site11_iter1","scenario7",0
"12",4.37670138408903e-06,3.90045861303992e-05,0,4.33812875144882e-05,"iter1","site12","site12_iter1","scenario7",0
"13",2.23532062512695e-05,5.61548468999918e-06,0,2.79686909412687e-05,"iter1","site13","site13_iter1","scenario7",0
"14",1.27446829599073e-05,1.81784270494017e-06,0,1.45625256648475e-05,"iter1","site14","site14_iter1","scenario7",0
"15",3.2814966569564e-05,1.72190124290893e-05,0,5.00339789986533e-05,"iter1","site15","site15_iter1","scenario7",0
"16",4.06279426850431e-06,4.65973461823364e-05,0,5.06601404508407e-05,"iter1","site16","site16_iter1","scenario7",0
"17",1.1733288189276e-05,0,0,1.1733288189276e-05,"iter1","site17","site17_iter1","scenario7",1
"18",7.92450645709496e-05,0,0,7.92450645709496e-05,"iter1","site18","site18_iter1","scenario7",0
"19",0,6.78997419141177e-05,0,6.78997419141177e-05,"iter1","site19","site19_iter1","scenario7",0
"20",6.42638884940955e-05,0.000160589142357045,0,0.00022485303085114,"iter1","site20","site20_iter1","scenario7",1
"21",4.21517833942953e-05,3.09166450684208e-05,0,7.30684284627161e-05,"iter1","site21","site21_iter1","scenario7",0
"22",3.64714390401268e-05,3.61788092342396e-05,0,7.26502482743664e-05,"iter1","site22","site22_iter1","scenario7",0
"23",2.76414522950607e-05,7.24095760021047e-05,0,0.000100051028297165,"iter1","site23","site23_iter1","scenario7",0
"24",5.35792572737571e-05,0,0,5.35792572737571e-05,"iter1","site24","site24_iter1","scenario7",0
"25",1.94320202099534e-05,0.000174311761983781,0,0.000193743782193735,"iter1","site25","site25_iter1","scenario7",1
"26",7.33669142805727e-06,1.02219038802376e-05,0,1.75585953082948e-05,"iter1","site26","site26_iter1","scenario7",0
"27",0.000125281658005639,0,0,0.000125281658005639,"iter1","site27","site27_iter1","scenario7",0
"28",1.24599800784793e-05,0,0,1.24599800784793e-05,"iter1","site28","site28_iter1","scenario7",0
"29",3.92210476524903e-05,0,0,3.92210476524903e-05,"iter1","site29","site29_iter1","scenario7",0
"30",8.7286690291396e-06,1.9292511778175e-05,0,2.80211808073146e-05,"iter1","site30","site30_iter1","scenario7",0
"31",3.37718996268877e-06,7.91834235251145e-08,7.0204225277653e-09,3.46339380874165e-06,"iter1","site31","site31_iter1","scenario7",0
"32",4.18368967804058e-06,0,0,4.18368967804058e-06,"iter1","site32","site32_iter1","scenario7",0
