"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.235185758958203,0.0971762770727445,0,0.332362036030947,"iter_1",0.55,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario2",45
"2","2",0.389799915092425,0,0,0.389799915092425,"iter_1",0.45,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario2",43
"3","1",0.232582414108895,0.146285513656789,0,0.378867927765684,"iter_2",0.55,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario2",37
"4","2",0.362738517215931,0.107477754361972,0,0.470216271577903,"iter_2",0.45,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario2",67
"5","1",0.102483213460921,0.203449276012631,0,0.305932489473552,"iter_3",0.55,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario2",30
"6","2",0.352944556838016,0.0477683160472825,0,0.400712872885298,"iter_3",0.45,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario2",52
"7","1",0.238904340813936,0.137403044922706,0,0.376307385736642,"iter_4",0.55,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario2",41
"8","2",0.342835637142389,0.0825088227468567,0,0.425344459889246,"iter_4",0.45,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario2",44
"9","1",0.259821923329561,0.111970774691727,0,0.371792698021288,"iter_5",0.55,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario2",46
"10","2",0.287930515321426,0.083638525758624,0,0.37156904108005,"iter_5",0.45,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario2",37
