"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.458185058121537,0,0,0.458185058121537,"iter_1",0.6,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario3",33
"2","2",0.248515475200379,0.0853415127560224,0,0.333856987956402,"iter_1",0.4,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario3",48
"3","1",0.237039635583298,0.136581863462665,0,0.373621499045963,"iter_2",0.6,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario3",35
"4","2",0.315900482026905,0.0944376648865314,0,0.410338146913436,"iter_2",0.4,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario3",57
"5","1",0.294111104886097,0.0646724900583398,0,0.358783594944437,"iter_3",0.6,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario3",39
"6","2",0.577602411826928,0,0,0.577602411826928,"iter_3",0.4,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario3",68
"7","1",0.361077169252609,0.0279489628448267,0,0.389026132097436,"iter_4",0.6,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario3",33
"8","2",0.520565231306999,0,0,0.520565231306999,"iter_4",0.4,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario3",43
"9","1",0.141875979811581,0.181570373196716,0,0.323446353008297,"iter_5",0.6,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario3",36
"10","2",0.266749605752749,0.15729025894575,0,0.424039864698498,"iter_5",0.4,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario3",71
