"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.504980949323528,0.189151408997583,0.0558705612224264,0.750002919543537,"iter_1",0.1,0.2,0.4,0.005,0,0,"spp1_iter_1","Fig3a",184
"2","2",0.604020912296134,0.0954302469117241,0.140871103458787,0.840322262666645,"iter_1",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_1","Fig3a",291
"3","3",0.529088375878365,0.110252668188834,0.145357420570347,0.784698464637546,"iter_1",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_1","Fig3a",393
"4","4",0.392115316504987,0.0969724345608268,0.0393070343703427,0.528394785436156,"iter_1",0.5,0.2,0.4,0.005,0,0,"spp4_iter_1","Fig3a",408
"5","5",0.535885352855902,0.1178775724844,0.0150707820829856,0.668833707423288,"iter_1",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_1","Fig3a",321
"6","6",0.66968425231592,0.0556120465791264,0.0103843332732356,0.735680632168282,"iter_1",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_1","Fig3a",294
"7","7",0.597539345950627,0.152915420779212,0.00345749341866564,0.753912260148505,"iter_1",0.9,0.2,0.4,0.005,0,0,"spp7_iter_1","Fig3a",165
"8","8",0.418037664221734,0.302335399900767,0.0671884070155025,0.787561471138004,"iter_1",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_1","Fig3a",138
"9","9",0.232069080787659,0.396061132696183,0.0600706746938044,0.688200888177647,"iter_1",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_1","Fig3a",88
"10","10",0.407918151155273,0.201433037780242,0.143766207143423,0.753117396078938,"iter_1",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_1","Fig3a",199
"11","11",0.205491071250116,0.362055280001595,0.0906381174467175,0.658184468698429,"iter_1",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_1","Fig3a",172
"12","12",0.185153308876976,0.332998152048239,0.053010610048106,0.571162070973322,"iter_1",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_1","Fig3a",117
"13","13",0.378450119444388,0.211737387102399,0.0488149125537509,0.639002419100538,"iter_1",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_1","Fig3a",173
"14","14",0.374211555539091,0.260436661812743,0,0.634648217351834,"iter_1",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_1","Fig3a",76
"15","15",0.419382494440171,0.229425797094079,0.0615005724325217,0.710308863966772,"iter_1",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_1","Fig3a",136
"16","1",0.589478859146992,0.127149284624759,0.00160107442120838,0.71822921819296,"iter_2",0.1,0.2,0.4,0.005,0,0,"spp1_iter_2","Fig3a",176
"17","2",0.579284573022168,0.137601245465892,0.00879236277796869,0.725678181266029,"iter_2",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_2","Fig3a",266
"18","3",0.546763192259753,0.116142407615699,0.0333824703860477,0.6962880702615,"iter_2",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_2","Fig3a",404
"19","4",0.42878034765526,0.0842669080648175,0.323769008056961,0.836816263777039,"iter_2",0.5,0.2,0.4,0.005,0,0,"spp4_iter_2","Fig3a",396
"20","5",0.516078681329037,0.116032614215164,0.05271248305228,0.68482377859648,"iter_2",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_2","Fig3a",368
"21","6",0.66419364325768,0.055677093897398,0.0420211265854518,0.76189186374053,"iter_2",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_2","Fig3a",265
"22","7",0.512226548949815,0.173700464053792,0.0567873011062465,0.742714314109853,"iter_2",0.9,0.2,0.4,0.005,0,0,"spp7_iter_2","Fig3a",169
"23","8",0.389960430286027,0.255979560443746,0.0184153076799131,0.664355298409687,"iter_2",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_2","Fig3a",101
"24","9",0.367531868193099,0.193561705134588,0.0393626640894001,0.600456237417087,"iter_2",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_2","Fig3a",98
"25","10",0.312124852760054,0.199381786846532,0.190466609316198,0.701973248922785,"iter_2",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_2","Fig3a",156
"26","11",0.272945248976635,0.222150933068013,0.141624344735639,0.636720526780288,"iter_2",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_2","Fig3a",169
"27","12",0.221848060377179,0.229102366887602,0.1347407640609,0.58569119132568,"iter_2",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_2","Fig3a",130
"28","13",0.403846039167392,0.265291252555937,0.0643292158948575,0.733466507618187,"iter_2",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_2","Fig3a",196
"29","14",0.332197075963899,0.324308007608901,0.00201028323326513,0.658515366806064,"iter_2",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_2","Fig3a",65
"30","15",0.563741638033896,0.140903573143055,0.00441453416359439,0.709059745340545,"iter_2",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_2","Fig3a",138
"31","1",0.601925551260522,0.184502056563783,0.0102365968437748,0.796664204668079,"iter_3",0.1,0.2,0.4,0.005,0,0,"spp1_iter_3","Fig3a",172
"32","2",0.650209230695876,0.0920320827652686,0.0399948718267468,0.782236185287892,"iter_3",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_3","Fig3a",292
"33","3",0.521956461420278,0.126227248842365,0.0348849411418068,0.68306865140445,"iter_3",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_3","Fig3a",357
"34","4",0.38746229894214,0.193222412773481,0.0101470797160772,0.590831791431698,"iter_3",0.5,0.2,0.4,0.005,0,0,"spp4_iter_3","Fig3a",347
"35","5",0.575259421504733,0.0933752453404914,0.0368081788517751,0.705442845697,"iter_3",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_3","Fig3a",372
"36","6",0.683706438070366,0.068448337650944,0.0535539567100408,0.805708732431351,"iter_3",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_3","Fig3a",277
"37","7",0.438792639027714,0.22918004028533,0.132734868259885,0.800707547572929,"iter_3",0.9,0.2,0.4,0.005,0,0,"spp7_iter_3","Fig3a",170
"38","8",0.356748022368601,0.320835297255002,0.0490419405548399,0.726625260178443,"iter_3",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_3","Fig3a",129
"39","9",0.401825440733042,0.211506208172824,0.000738667088581613,0.614070315994447,"iter_3",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_3","Fig3a",70
"40","10",0.495081366489437,0.18164574598328,0.0650590186864235,0.74178613115914,"iter_3",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp10_iter_3","Fig3a",231
"41","11",0.196954200459499,0.335318266256098,0.0511583789364495,0.583430845652047,"iter_3",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp11_iter_3","Fig3a",109
"42","12",0.237894876563208,0.267875826550775,0.206833543558,0.712604246671982,"iter_3",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp12_iter_3","Fig3a",160
"43","13",0.414478885996034,0.231354665590972,0.135645679823126,0.781479231410132,"iter_3",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp13_iter_3","Fig3a",196
"44","14",0.242071419575441,0.320918428979292,0.115509642660987,0.67849949121572,"iter_3",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp14_iter_3","Fig3a",83
"45","15",0.505783616931828,0.168082103170103,0.0381311048562947,0.711996824958225,"iter_3",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_3","Fig3a",113
"46","1",0.545546305377253,0.139064542788573,0.0549239672452426,0.739534815411068,"iter_4",0.1,0.2,0.4,0.005,0,0,"spp1_iter_4","Fig3a",176
"47","2",0.684370255122874,0.0860775247834469,0.0367032515985111,0.807151031504832,"iter_4",0.233333333333333,0.2,0.4,0.005,0,0,"spp2_iter_4","Fig3a",310
"48","3",0.54177168934212,0.0812580300515074,0.0262849603669745,0.649314679760602,"iter_4",0.366666666666667,0.2,0.4,0.005,0,0,"spp3_iter_4","Fig3a",380
"49","4",0.403929910347674,0.150741451564187,0.0151686836326971,0.569840045544558,"iter_4",0.5,0.2,0.4,0.005,0,0,"spp4_iter_4","Fig3a",387
"50","5",0.569356645506886,0.114474978944403,0.0284647552772846,0.712296379728574,"iter_4",0.633333333333333,0.2,0.4,0.005,0,0,"spp5_iter_4","Fig3a",353
"51","6",0.641922135535329,0.105630849217168,0.117066799608254,0.864619784360751,"iter_4",0.766666666666667,0.2,0.4,0.005,0,0,"spp6_iter_4","Fig3a",280
"52","7",0.665267268186765,0.107462191861216,0.0563644946574895,0.82909395470547,"iter_4",0.9,0.2,0.4,0.005,0,0,"spp7_iter_4","Fig3a",169
"53","8",0.607128459202714,0.11702643526789,0.0332649168240966,0.757419811294701,"iter_4",0.1,0.2,0.4,0.005,1.5,1.5,"spp8_iter_4","Fig3a",147
"54","9",0.378262066053053,0.237993979200579,0,0.616256045253631,"iter_4",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp9_iter_4","Fig3a",64
