"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.384488770593435,0.0793084759052264,0.209091338719179,0.672888585217841,"iter_1",0.5,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario1",394
"2","2",0.409878816609662,0.0743238451808249,0.0455071191850398,0.529709780975526,"iter_1",0.5,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario1",365
"3","1",0.39476337582815,0.0911224536627758,0.110586490043776,0.596472319534701,"iter_2",0.5,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario1",342
"4","2",0.422222852009272,0.112779909410932,0.0791908116593429,0.614193573079547,"iter_2",0.5,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario1",407
"5","1",0.357619835807249,0.116965193403138,0.110861555482878,0.585446584693265,"iter_3",0.5,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario1",396
"6","2",0.35962130247351,0.0912021073885801,0.161903001874895,0.612726411736985,"iter_3",0.5,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario1",380
"7","1",0.323436107954267,0.122303696974762,0.243362774028758,0.689102578957788,"iter_4",0.5,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario1",371
"8","2",0.335874115976516,0.120903523640971,0.0156019679087843,0.472379607526271,"iter_4",0.5,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario1",382
"9","1",0.331924943362302,0.129044459664346,0.070908093815056,0.531877496841704,"iter_5",0.5,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario1",364
"10","2",0.346058652750175,0.0842388940719375,0.224990921693083,0.655288468515195,"iter_5",0.5,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario1",377
