"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.405121562718404,0.111444865789295,0.0169740278833626,0.533540456391062,"iter_1",0.55,0.2,0.4,0.005,0,0,"spp1_iter_1","scenarioscenario2",365
"2","2",0.385218311080117,0.090677859783279,0.170644442985058,0.646540613848454,"iter_1",0.45,0.2,0.4,0.005,0,0,"spp2_iter_1","scenarioscenario2",376
"3","1",0.395754012078234,0.0825385123189638,0.116952473300864,0.595244997698062,"iter_2",0.55,0.2,0.4,0.005,0,0,"spp1_iter_2","scenarioscenario2",373
"4","2",0.353536850254994,0.110567405156196,0.0937477238510824,0.557851979262273,"iter_2",0.45,0.2,0.4,0.005,0,0,"spp2_iter_2","scenarioscenario2",376
"5","1",0.420940523681115,0.0652477924298372,0.0659128774383049,0.552101193549257,"iter_3",0.55,0.2,0.4,0.005,0,0,"spp1_iter_3","scenarioscenario2",376
"6","2",0.389833734529094,0.101972698426276,0.161728712959276,0.653535145914645,"iter_3",0.45,0.2,0.4,0.005,0,0,"spp2_iter_3","scenarioscenario2",405
"7","1",0.386402748716285,0.101303667447721,0.0999913371353517,0.587697753299357,"iter_4",0.55,0.2,0.4,0.005,0,0,"spp1_iter_4","scenarioscenario2",376
"8","2",0.411388897013013,0.0769772663413175,0.187075962511894,0.675442125866225,"iter_4",0.45,0.2,0.4,0.005,0,0,"spp2_iter_4","scenarioscenario2",391
"9","1",0.439436275125645,0.107300819921094,0.0760994407386975,0.622836535785436,"iter_5",0.55,0.2,0.4,0.005,0,0,"spp1_iter_5","scenarioscenario2",379
"10","2",0.390273423641886,0.124134812101557,0.160602763957888,0.67501099970133,"iter_5",0.45,0.2,0.4,0.005,0,0,"spp2_iter_5","scenarioscenario2",392
