"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",3.73321724031592e-05,0,0,3.73321724031592e-05,"iter1","site1","site1_iter1","scenario9",0
"2",1.75114243856907e-05,3.27588957036382e-05,0,5.02703200893288e-05,"iter1","site2","site2_iter1","scenario9",0
"3",0,0,0,0,"iter1","site3","site3_iter1","scenario9",0
"4",0.000130088200081733,0,0,0.000130088200081733,"iter1","site4","site4_iter1","scenario9",0
"5",5.96140949169263e-05,0,0,5.96140949169263e-05,"iter1","site5","site5_iter1","scenario9",0
"6",0.000197240095756797,0.000213054398129341,0,0.000410294493886137,"iter1","site6","site6_iter1","scenario9",1
"7",0.000195378827176904,1.6624129729459e-06,0,0.00019704124014985,"iter1","site7","site7_iter1","scenario9",0
"8",1.29619005904146e-05,0,0,1.29619005904146e-05,"iter1","site8","site8_iter1","scenario9",0
"9",4.16090844237728e-07,1.68657303676163e-05,0,1.72818212118541e-05,"iter1","site9","site9_iter1","scenario9",0
"10",0.000109741905987875,0,0,0.000109741905987875,"iter1","site10","site10_iter1","scenario9",0
"11",6.07366652240772e-05,0,0,6.07366652240772e-05,"iter1","site11","site11_iter1","scenario9",0
"12",7.74419300684167e-05,0,0,7.74419300684167e-05,"iter1","site12","site12_iter1","scenario9",0
"13",3.13278478764974e-05,6.88106502321355e-06,0,3.82089128997109e-05,"iter1","site13","site13_iter1","scenario9",0
"14",8.31688318567091e-06,0,0,8.31688318567091e-06,"iter1","site14","site14_iter1","scenario9",0
"15",6.00332558496115e-05,2.2198285602613e-05,0,8.22315414522244e-05,"iter1","site15","site15_iter1","scenario9",1
"16",0,3.40908068726544e-06,0,3.40908068726544e-06,"iter1","site16","site16_iter1","scenario9",0
"17",0,1.60768714795573e-05,0,1.60768714795573e-05,"iter1","site17","site17_iter1","scenario9",0
"18",0.000207450711586432,0,0,0.000207450711586432,"iter1","site18","site18_iter1","scenario9",0
"19",1.98258900709111e-05,7.10331366019969e-06,0,2.69292037311108e-05,"iter1","site19","site19_iter1","scenario9",1
"20",7.45280995625423e-05,1.8395128186104e-05,0,9.29232277486463e-05,"iter1","site20","site20_iter1","scenario9",0
"21",8.32483203522846e-05,0,0,8.32483203522846e-05,"iter1","site21","site21_iter1","scenario9",1
"22",5.4345824624235e-05,0,0,5.4345824624235e-05,"iter1","site22","site22_iter1","scenario9",0
"23",8.67714677762571e-07,5.3718384063737e-05,4.60322562395461e-06,5.91893243654542e-05,"iter1","site23","site23_iter1","scenario9",0
"24",7.17782729659184e-05,0,0,7.17782729659184e-05,"iter1","site24","site24_iter1","scenario9",0
"25",3.32257285962245e-05,0,0,3.32257285962245e-05,"iter1","site25","site25_iter1","scenario9",0
"26",4.58315584508091e-06,0,0,4.58315584508091e-06,"iter1","site26","site26_iter1","scenario9",0
"27",0.000159645881957299,0,0,0.000159645881957299,"iter1","site27","site27_iter1","scenario9",1
"28",0,1.92915525584497e-05,0,1.92915525584497e-05,"iter1","site28","site28_iter1","scenario9",0
"29",0.000123446071675966,1.8822603388011e-05,0,0.000142268675063977,"iter1","site29","site29_iter1","scenario9",1
"30",1.77393080771384e-05,2.7418692013382e-05,0,4.51580000905204e-05,"iter1","site30","site30_iter1","scenario9",0
"31",1.76584915614469e-06,0,2.32825063642898e-07,1.99867421978759e-06,"iter1","site31","site31_iter1","scenario9",0
"32",4.39708299340997e-06,0,0,4.39708299340997e-06,"iter1","site32","site32_iter1","scenario9",0
"33",3.92083695857053e-06,3.50872769078884e-05,1.94685424199852e-06,4.09549681084575e-05,"iter1","site33","site33_iter1","scenario9",0
"34",9.67777723180646e-05,4.65313572009382e-05,0,0.000143309129519003,"iter1","site34","site34_iter1","scenario9",1
"35",0.000100505187354129,8.69843211317777e-06,0,0.000109203619467307,"iter1","site35","site35_iter1","scenario9",0
"36",1.77327044869707e-06,2.68026807696669e-05,0,2.8575951218364e-05,"iter1","site36","site36_iter1","scenario9",0
"37",7.19512593967647e-05,2.14112455476425e-05,0,9.33625049444071e-05,"iter1","site37","site37_iter1","scenario9",1
"38",0.000147900118503703,9.22785531796265e-05,0,0.000240178671683329,"iter1","site38","site38_iter1","scenario9",1
"39",4.96515254492147e-05,3.63672408676439e-06,0,5.32882495359791e-05,"iter1","site39","site39_iter1","scenario9",0
"40",2.9137346975415e-06,2.40396472001673e-05,6.64546951501786e-07,2.76179288492106e-05,"iter1","site40","site40_iter1","scenario9",0
"41",3.46637176792786e-05,0,0,3.46637176792786e-05,"iter1","site41","site41_iter1","scenario9",0
"42",2.04212021242348e-05,1.9084234446926e-06,0,2.23296255689274e-05,"iter1","site42","site42_iter1","scenario9",1
"43",4.94773375542823e-05,0,0,4.94773375542823e-05,"iter1","site43","site43_iter1","scenario9",1
"44",3.38889172652255e-06,1.04851514193769e-05,0,1.38740431458995e-05,"iter1","site44","site44_iter1","scenario9",0
"45",3.29805071985611e-06,6.68549536689168e-06,0,9.9835460867478e-06,"iter1","site45","site45_iter1","scenario9",0
"46",5.79061709958057e-05,0,0,5.79061709958057e-05,"iter1","site46","site46_iter1","scenario9",0
"47",0.000137740959009392,0,0,0.000137740959009392,"iter1","site47","site47_iter1","scenario9",1
"48",0,8.78998853216808e-05,4.60902354952816e-06,9.2508908871209e-05,"iter1","site48","site48_iter1","scenario9",0
"49",5.67237882854412e-06,0,0,5.67237882854412e-06,"iter1","site49","site49_iter1","scenario9",0
"50",2.43527073928243e-05,0,0,2.43527073928243e-05,"iter1","site50","site50_iter1","scenario9",0
"51",2.75058151518187e-07,2.99038355024442e-05,0,3.01788936539624e-05,"iter1","site51","site51_iter1","scenario9",1
"52",8.17148632029379e-05,0,0,8.17148632029379e-05,"iter1","site52","site52_iter1","scenario9",1
"53",1.14039830793999e-05,2.04321367328471e-05,0,3.18361198122471e-05,"iter1","site53","site53_iter1","scenario9",0
"54",3.61841631208566e-05,0,8.29974608971247e-08,3.62671605817537e-05,"iter1","site54","site54_iter1","scenario9",0
"55",6.33759676289905e-05,0,0,6.33759676289905e-05,"iter1","site55","site55_iter1","scenario9",0
"56",0.000115681538161867,1.36451193018474e-05,0,0.000129326657463715,"iter1","site56","site56_iter1","scenario9",1
"57",2.73300813830057e-05,0,0,2.73300813830057e-05,"iter1","site57","site57_iter1","scenario9",1
"58",0,6.61358688707134e-06,8.03527902612249e-07,7.41711478968359e-06,"iter1","site58","site58_iter1","scenario9",0
"59",5.19230581732505e-06,6.56080719296907e-06,0,1.17531130102941e-05,"iter1","site59","site59_iter1","scenario9",0
"60",4.29443402486134e-06,0,0,4.29443402486134e-06,"iter1","site60","site60_iter1","scenario9",0
"61",0.00020522768361038,0.000112854966728865,0,0.000318082650339245,"iter1","site61","site61_iter1","scenario9",1
"62",3.13780674596447e-05,0,0,3.13780674596447e-05,"iter1","site62","site62_iter1","scenario9",0
"63",0,2.88838180279429e-05,2.21323913408508e-06,3.10970571620279e-05,"iter1","site63","site63_iter1","scenario9",0
"64",4.23722164849479e-05,0.000110545907276578,0,0.000152918123761526,"iter1","site64","site64_iter1","scenario9",0
"65",2.22351009272479e-05,2.77749307767305e-05,0,5.00100317039784e-05,"iter1","site65","site65_iter1","scenario9",0
"66",5.81748406148694e-05,2.67859240003227e-05,0,8.49607646151921e-05,"iter1","site66","site66_iter1","scenario9",0
"67",6.54639859214501e-06,2.36090522029859e-07,0,6.78248911417487e-06,"iter1","site67","site67_iter1","scenario9",0
"68",3.70450017211138e-05,0,0,3.70450017211138e-05,"iter1","site68","site68_iter1","scenario9",0
"69",8.59551401782798e-05,0,0,8.59551401782798e-05,"iter1","site69","site69_iter1","scenario9",1
"70",9.42117592915626e-05,0,0,9.42117592915626e-05,"iter1","site70","site70_iter1","scenario9",0
"71",1.86644217191756e-05,0,0,1.86644217191756e-05,"iter1","site71","site71_iter1","scenario9",0
"72",8.53053445928785e-05,0,0,8.53053445928785e-05,"iter1","site72","site72_iter1","scenario9",0
"73",3.68742022049661e-05,8.87698459903123e-06,0,4.57511868039973e-05,"iter1","site73","site73_iter1","scenario9",1
"74",3.41392632952214e-05,3.50716999807802e-05,0,6.92109632760016e-05,"iter1","site74","site74_iter1","scenario9",1
"75",1.00999233028506e-05,1.92497966375894e-05,2.62685043926511e-08,2.93759884448326e-05,"iter1","site75","site75_iter1","scenario9",0
"76",0.000158397475719081,3.69437660818058e-05,0,0.000195341241800886,"iter1","site76","site76_iter1","scenario9",1
"77",9.34708981492462e-05,0,0,9.34708981492462e-05,"iter1","site77","site77_iter1","scenario9",0
"78",2.20579659518519e-05,1.12521335045151e-05,0,3.3310099456367e-05,"iter1","site78","site78_iter1","scenario9",1
"79",9.94223181079013e-05,0.000126809528872498,0,0.000226231846980399,"iter1","site79","site79_iter1","scenario9",1
"80",0.000211007833557527,1.95914115764373e-05,0,0.000230599245133964,"iter1","site80","site80_iter1","scenario9",1
"81",0,6.68006222901571e-05,1.87898153819246e-06,6.86796038283496e-05,"iter1","site81","site81_iter1","scenario9",1
"82",4.63883872360861e-05,6.31788519249717e-06,0,5.27062724285832e-05,"iter1","site82","site82_iter1","scenario9",0
"83",4.92892613238203e-06,0,0,4.92892613238203e-06,"iter1","site83","site83_iter1","scenario9",0
"84",1.91155352462874e-05,1.41956947148274e-05,0,3.33112299611149e-05,"iter1","site84","site84_iter1","scenario9",0
"85",4.65815017424204e-05,0,0,4.65815017424204e-05,"iter1","site85","site85_iter1","scenario9",1
"86",5.20280832140136e-05,1.94399193683872e-06,0,5.39720751508523e-05,"iter1","site86","site86_iter1","scenario9",1
"87",0,1.16922224936633e-06,0,1.16922224936633e-06,"iter1","site87","site87_iter1","scenario9",0
"88",8.97228456045035e-05,0,0,8.97228456045035e-05,"iter1","site88","site88_iter1","scenario9",0
"89",0,1.1023211746063e-05,0,1.1023211746063e-05,"iter1","site89","site89_iter1","scenario9",0
"90",0.000108820957327055,2.33016709256353e-05,0,0.000132122628252691,"iter1","site90","site90_iter1","scenario9",1
"91",4.51011578426868e-05,0,0,4.51011578426868e-05,"iter1","site91","site91_iter1","scenario9",0
"92",6.60155092347989e-05,0,0,6.60155092347989e-05,"iter1","site92","site92_iter1","scenario9",0
"93",0,8.26057033858803e-05,0,8.26057033858803e-05,"iter1","site93","site93_iter1","scenario9",0
"94",0.000128790221177889,0,0,0.000128790221177889,"iter1","site94","site94_iter1","scenario9",0
"95",5.32478068627781e-05,0,0,5.32478068627781e-05,"iter1","site95","site95_iter1","scenario9",0
"96",8.25664500273511e-05,8.63500259964317e-06,0,9.12014526269943e-05,"iter1","site96","site96_iter1","scenario9",0
"97",0,5.56582626860129e-05,0,5.56582626860129e-05,"iter1","site97","site97_iter1","scenario9",0
"98",6.39302578043287e-07,0,0,6.39302578043287e-07,"iter1","site98","site98_iter1","scenario9",0
"99",4.97888130692595e-05,5.22571510697058e-06,0,5.501452817623e-05,"iter1","site99","site99_iter1","scenario9",0
"100",2.48666397076567e-06,0,0,2.48666397076567e-06,"iter1","site100","site100_iter1","scenario9",0
"101",0,7.67498375847001e-06,0,7.67498375847001e-06,"iter1","site101","site101_iter1","scenario9",0
"102",1.80332035473605e-05,2.72350409657415e-05,0,4.5268244513102e-05,"iter1","site102","site102_iter1","scenario9",0
"103",6.23968487575418e-05,1.53517258871326e-05,0,7.77485746446743e-05,"iter1","site103","site103_iter1","scenario9",1
"104",0.000259893925068867,1.83631570908451e-05,0,0.000278257082159712,"iter1","site104","site104_iter1","scenario9",1
"105",2.32430916653561e-05,2.20853958143816e-05,0,4.53284874797376e-05,"iter1","site105","site105_iter1","scenario9",1
"106",8.17331063991262e-05,2.93426382553986e-05,0,0.000111075744654525,"iter1","site106","site106_iter1","scenario9",1
"107",8.29413941338131e-05,0,0,8.29413941338131e-05,"iter1","site107","site107_iter1","scenario9",0
"108",3.63127094817283e-06,0,0,3.63127094817283e-06,"iter1","site108","site108_iter1","scenario9",0
"109",0.000143935019619335,0,0,0.000143935019619335,"iter1","site109","site109_iter1","scenario9",0
"110",0,1.1786205526467e-05,0,1.1786205526467e-05,"iter1","site110","site110_iter1","scenario9",0
"111",0.000247304083978262,1.92181702871099e-05,0,0.000266522254265372,"iter1","site111","site111_iter1","scenario9",1
"112",2.81896219714587e-05,0,0,2.81896219714587e-05,"iter1","site112","site112_iter1","scenario9",0
"113",1.84002262901572e-05,0,0,1.84002262901572e-05,"iter1","site113","site113_iter1","scenario9",1
"114",0,5.50254651142306e-06,1.97936104357555e-06,7.48190755499861e-06,"iter1","site114","site114_iter1","scenario9",0
"115",6.62427341364735e-05,0,0,6.62427341364735e-05,"iter1","site115","site115_iter1","scenario9",0
"116",0.000202477652484025,0.000101576867218067,0,0.000304054519702092,"iter1","site116","site116_iter1","scenario9",1
"117",6.78497703665065e-06,0,0,6.78497703665065e-06,"iter1","site117","site117_iter1","scenario9",0
"118",3.29010222809898e-05,0,0,3.29010222809898e-05,"iter1","site118","site118_iter1","scenario9",0
"119",8.00083374584642e-06,0,0,8.00083374584642e-06,"iter1","site119","site119_iter1","scenario9",0
"120",0,1.03562952042342e-05,0,1.03562952042342e-05,"iter1","site120","site120_iter1","scenario9",0
"121",0.000201170614338238,0,0,0.000201170614338238,"iter1","site121","site121_iter1","scenario9",0
"122",0,9.47309109601051e-06,0,9.47309109601051e-06,"iter1","site122","site122_iter1","scenario9",0
"123",0,1.97929811548436e-05,0,1.97929811548436e-05,"iter1","site123","site123_iter1","scenario9",1
"124",9.05487214981814e-05,0.000129993822870598,0,0.000220542544368779,"iter1","site124","site124_iter1","scenario9",1
"125",6.08834151039353e-05,4.29131137272523e-05,0,0.000103796528831188,"iter1","site125","site125_iter1","scenario9",0
"126",1.82161142298366e-05,5.09542396983157e-05,0,6.91703539281523e-05,"iter1","site126","site126_iter1","scenario9",0
"127",2.48580092358753e-06,0,0,2.48580092358753e-06,"iter1","site127","site127_iter1","scenario9",0
"128",5.69419289918808e-05,0,0,5.69419289918808e-05,"iter1","site128","site128_iter1","scenario9",1
"129",5.76854111902919e-05,2.34541085635471e-05,0,8.1139519753839e-05,"iter1","site129","site129_iter1","scenario9",0
