"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.509840363016551,0.0462795096711258,0.0163579487928464,0.572477821480523,"iter_1",0.7,0.2,0.4,0.005,0,0,"spp1_iter_1","scenarioscenario5",325
"2","2",0.584343627006534,0.0230517006722047,0.0104402806348265,0.617835608313565,"iter_1",0.3,0.2,0.4,0.005,0,0,"spp2_iter_1","scenarioscenario5",337
"3","1",0.538962209050973,0.0200599476986977,0.0259942756901925,0.585016432439863,"iter_2",0.7,0.2,0.4,0.005,0,0,"spp1_iter_2","scenarioscenario5",311
"4","2",0.524632461627666,0.0887402830623814,0.0109874039493314,0.624360148639378,"iter_2",0.3,0.2,0.4,0.005,0,0,"spp2_iter_2","scenarioscenario5",352
"5","1",0.579238489987514,0.0245624562367612,0,0.603800946224275,"iter_3",0.7,0.2,0.4,0.005,0,0,"spp1_iter_3","scenarioscenario5",334
"6","2",0.493676738951149,0.0436903957635686,0.234709634890311,0.772076769605029,"iter_3",0.3,0.2,0.4,0.005,0,0,"spp2_iter_3","scenarioscenario5",348
"7","1",0.573663574145131,0.0598561907103151,0.0115736104865362,0.645093375341982,"iter_4",0.7,0.2,0.4,0.005,0,0,"spp1_iter_4","scenarioscenario5",355
"8","2",0.662049798820853,0.0304203504852417,0,0.692470149306095,"iter_4",0.3,0.2,0.4,0.005,0,0,"spp2_iter_4","scenarioscenario5",347
"9","1",0.545432627770307,0.0188117137994379,0.117484687563981,0.681729029133727,"iter_5",0.7,0.2,0.4,0.005,0,0,"spp1_iter_5","scenarioscenario5",341
"10","2",0.60831753069546,0.0261370301367975,0,0.634454560832258,"iter_5",0.3,0.2,0.4,0.005,0,0,"spp2_iter_5","scenarioscenario5",355
