"","env","spa","codist","r2","iteration","site","identifier","scenario","richness"
"1",3.41805817786188e-05,0,2.19116421317291e-05,5.60922239103479e-05,"iter1","site1","site1_iter1","scenario4",1
"2",3.81566925461617e-05,6.84901797500019e-06,1.15497524508761e-05,5.65554629720379e-05,"iter1","site2","site2_iter1","scenario4",2
"3",4.48695557369661e-05,8.77349529979378e-06,6.9037068291523e-06,6.05467578659121e-05,"iter1","site3","site3_iter1","scenario4",2
"4",0.0001128686441101,7.2342048432097e-05,1.42047970373415e-05,0.000199415489579539,"iter1","site4","site4_iter1","scenario4",0
"5",6.44639806663294e-05,5.3110742472401e-05,2.51639985251438e-05,0.000142738721663874,"iter1","site5","site5_iter1","scenario4",1
"6",0.000111306815007777,0,4.75498596092465e-07,0.000111782313603869,"iter1","site6","site6_iter1","scenario4",0
"7",0.000120673010098916,0,9.51495128727111e-06,0.000130187961386187,"iter1","site7","site7_iter1","scenario4",1
"8",4.5316106227614e-05,1.41517706507279e-05,3.54835725220917e-06,6.30162341305511e-05,"iter1","site8","site8_iter1","scenario4",1
"9",2.2420364097608e-05,0,0,2.2420364097608e-05,"iter1","site9","site9_iter1","scenario4",0
"10",0.000181942761006606,2.90603642778964e-05,3.27902155736488e-05,0.000243793340858151,"iter1","site10","site10_iter1","scenario4",1
"11",5.56655794198852e-05,7.16658585809939e-05,3.68127332481567e-05,0.000164144171249036,"iter1","site11","site11_iter1","scenario4",1
"12",4.83613974563445e-05,0,2.15657935944292e-05,6.99271910507737e-05,"iter1","site12","site12_iter1","scenario4",1
"13",2.94782677060524e-05,0,9.42664559650732e-06,3.89049133025597e-05,"iter1","site13","site13_iter1","scenario4",1
"14",1.75163748083035e-05,0,0,1.75163748083035e-05,"iter1","site14","site14_iter1","scenario4",0
"15",2.62230751100605e-05,0,0,2.62230751100605e-05,"iter1","site15","site15_iter1","scenario4",0
"16",4.04394966377295e-05,1.00670845489032e-06,9.23459181411097e-06,5.06807969067308e-05,"iter1","site16","site16_iter1","scenario4",2
"17",3.730871960655e-05,0,8.90031143201792e-06,4.62090310385679e-05,"iter1","site17","site17_iter1","scenario4",1
"18",0.000246437772754966,1.63197357905524e-05,3.90930387095636e-05,0.000301850547255082,"iter1","site18","site18_iter1","scenario4",1
"19",3.40977843115799e-05,8.35933888872248e-07,1.87662954269655e-05,5.37000136274177e-05,"iter1","site19","site19_iter1","scenario4",1
"20",4.75034150431503e-05,1.23243570969954e-06,1.15248963727484e-05,6.02607471255983e-05,"iter1","site20","site20_iter1","scenario4",1
"21",0.000167775710062982,4.85042151184979e-05,0,0.00021627992518148,"iter1","site21","site21_iter1","scenario4",0
"22",5.88150694823496e-05,1.05008764992916e-05,0,6.93159459816412e-05,"iter1","site22","site22_iter1","scenario4",0
"23",2.78476985273999e-05,0,0,2.78476985273999e-05,"iter1","site23","site23_iter1","scenario4",1
"24",0.000140747145325379,0.000103979108299625,0,0.000244726253625004,"iter1","site24","site24_iter1","scenario4",0
"25",5.0211339667065e-05,3.9146847671923e-05,2.65868395480134e-05,0.000115945026887001,"iter1","site25","site25_iter1","scenario4",1
"26",4.22853533026911e-05,1.05050982532537e-05,2.1768502759904e-05,7.45589543158487e-05,"iter1","site26","site26_iter1","scenario4",1
"27",0.000187475411425927,0,1.96094920216015e-05,0.000207084903447528,"iter1","site27","site27_iter1","scenario4",1
"28",3.07763891093916e-05,0,0,3.07763891093916e-05,"iter1","site28","site28_iter1","scenario4",0
"29",6.58368426850204e-05,0,1.24451149940459e-05,7.82819576790664e-05,"iter1","site29","site29_iter1","scenario4",1
"30",3.08375329187582e-05,2.5908439966696e-05,2.81277127754057e-06,5.95587441629948e-05,"iter1","site30","site30_iter1","scenario4",2
"31",3.85366931430939e-05,5.84410094411679e-06,1.0917935015763e-05,5.52987291029737e-05,"iter1","site31","site31_iter1","scenario4",2
"32",5.04278363856055e-05,5.08992687023776e-05,1.47478323506815e-05,0.000116074937438665,"iter1","site32","site32_iter1","scenario4",1
"33",2.07298792282196e-05,0,1.28313413002326e-05,3.35612205284521e-05,"iter1","site33","site33_iter1","scenario4",1
"34",8.20908239288024e-05,4.2638140655442e-05,2.86729800219344e-05,0.000153401944606179,"iter1","site34","site34_iter1","scenario4",1
"35",5.03547723960061e-05,2.41978590436379e-05,1.60123483455567e-05,9.05649797852007e-05,"iter1","site35","site35_iter1","scenario4",1
"36",1.74547318749117e-05,0.000184142048737031,1.74103274455768e-05,0.000219007108057519,"iter1","site36","site36_iter1","scenario4",2
"37",2.55301261345932e-06,1.43718365395457e-06,9.67696883036712e-07,4.9578931504506e-06,"iter1","site37","site37_iter1","scenario4",0
"38",8.4840757793586e-05,0,1.66088434411466e-05,0.000101449601234733,"iter1","site38","site38_iter1","scenario4",1
"39",0,3.4172486140472e-05,2.26342625646563e-05,5.68067487051283e-05,"iter1","site39","site39_iter1","scenario4",1
"40",0,3.48523819224208e-05,2.48097904199605e-05,5.96621723423813e-05,"iter1","site40","site40_iter1","scenario4",1
"41",5.59320754991181e-05,0,2.24702552504724e-05,7.84023307495904e-05,"iter1","site41","site41_iter1","scenario4",1
"42",3.7749684280307e-05,5.49103904420134e-06,1.32509332970806e-05,5.64916566215889e-05,"iter1","site42","site42_iter1","scenario4",1
"43",7.42357724656779e-05,6.71887354985715e-05,1.16250247042865e-05,0.000153049532668536,"iter1","site43","site43_iter1","scenario4",1
"44",7.72736197491662e-06,0,0,7.72736197491662e-06,"iter1","site44","site44_iter1","scenario4",0
"45",3.95964274863952e-05,4.462038287834e-06,8.26317200979495e-06,5.23216377840242e-05,"iter1","site45","site45_iter1","scenario4",1
"46",3.84614042614492e-05,0,0,3.84614042614492e-05,"iter1","site46","site46_iter1","scenario4",0
"47",0.000238739930458481,0,0,0.000238739930458481,"iter1","site47","site47_iter1","scenario4",0
"48",3.26797899306083e-05,0,0,3.26797899306083e-05,"iter1","site48","site48_iter1","scenario4",0
"49",2.05293851801792e-06,3.04879746476347e-05,0,3.25409131656526e-05,"iter1","site49","site49_iter1","scenario4",0
"50",3.91409804186168e-05,1.71168650563127e-06,0,4.08526669242481e-05,"iter1","site50","site50_iter1","scenario4",0
"51",1.47785092712195e-05,0,0,1.47785092712195e-05,"iter1","site51","site51_iter1","scenario4",0
"52",6.86059923159924e-05,0,2.47275653427784e-05,9.33335576587708e-05,"iter1","site52","site52_iter1","scenario4",1
"53",1.9935805164327e-05,0,0,1.9935805164327e-05,"iter1","site53","site53_iter1","scenario4",1
"54",2.02021361579567e-05,0,0,2.02021361579567e-05,"iter1","site54","site54_iter1","scenario4",0
"55",0.000160420811400401,1.27985984077521e-05,0,0.000173219409808153,"iter1","site55","site55_iter1","scenario4",0
"56",0.000156701160224571,6.15868834432969e-05,0,0.000218288043667868,"iter1","site56","site56_iter1","scenario4",0
"57",3.77506364018477e-05,3.03608773976303e-05,2.96009246756445e-05,9.77124384751226e-05,"iter1","site57","site57_iter1","scenario4",1
"58",2.48610264048176e-05,0,0,2.48610264048176e-05,"iter1","site58","site58_iter1","scenario4",0
"59",2.52757968428419e-05,0,0,2.52757968428419e-05,"iter1","site59","site59_iter1","scenario4",1
"60",2.1947449787827e-05,0,0,2.1947449787827e-05,"iter1","site60","site60_iter1","scenario4",1
"61",0.000127540336874759,1.70941809398942e-06,1.92089894480472e-05,0.000148458744416796,"iter1","site61","site61_iter1","scenario4",1
"62",3.49472913640422e-05,4.92476216050083e-05,2.23076163517956e-05,0.000106502529320846,"iter1","site62","site62_iter1","scenario4",1
"63",3.5580237137379e-05,1.42321266692172e-05,1.14198828929227e-05,6.12322466995189e-05,"iter1","site63","site63_iter1","scenario4",2
"64",1.11689339059287e-05,0,1.56468634154542e-05,2.68157973213828e-05,"iter1","site64","site64_iter1","scenario4",1
"65",3.05214770276708e-05,0,5.38470613856214e-06,3.59061831662329e-05,"iter1","site65","site65_iter1","scenario4",1
"66",3.74767869078204e-05,0,2.09332986429425e-05,5.84100855507629e-05,"iter1","site66","site66_iter1","scenario4",1
"67",3.847330873752e-05,0,1.83912196584541e-05,5.68645283959741e-05,"iter1","site67","site67_iter1","scenario4",1
"68",3.45391493642238e-05,2.41108295000831e-06,1.04203181159483e-05,4.73705504301804e-05,"iter1","site68","site68_iter1","scenario4",1
"69",0.00013823335387248,9.80582121129405e-06,2.26197014034655e-05,0.000170658876487239,"iter1","site69","site69_iter1","scenario4",1
"70",0.000108092493212502,1.56111587148206e-05,0,0.000123703651927323,"iter1","site70","site70_iter1","scenario4",0
"71",3.18227699529055e-05,1.80448107910198e-05,0,4.98675807439253e-05,"iter1","site71","site71_iter1","scenario4",1
"72",2.44582500121136e-05,0,7.26434481294984e-07,2.51846844934086e-05,"iter1","site72","site72_iter1","scenario4",0
"73",2.1725779396649e-05,2.70641857637922e-05,2.71250123871454e-05,7.59149775475866e-05,"iter1","site73","site73_iter1","scenario4",1
"74",2.1397001523044e-05,0,0,2.1397001523044e-05,"iter1","site74","site74_iter1","scenario4",1
"75",1.66032280650107e-05,0,1.12395216369773e-05,2.7842749701988e-05,"iter1","site75","site75_iter1","scenario4",1
"76",7.4449140582635e-05,0,1.7243823006224e-05,9.1692963588859e-05,"iter1","site76","site76_iter1","scenario4",1
"77",0.000106834982541216,4.42114340209537e-05,0,0.00015104641656217,"iter1","site77","site77_iter1","scenario4",0
"78",6.17850928887455e-05,3.99737206926398e-05,5.05277031255633e-06,0.000106811583893942,"iter1","site78","site78_iter1","scenario4",2
"79",3.64904478341975e-05,0,1.29180719431933e-05,4.94085197773908e-05,"iter1","site79","site79_iter1","scenario4",1
"80",0.000206465116188701,2.00496272733515e-05,3.62529976155458e-05,0.000262767741077598,"iter1","site80","site80_iter1","scenario4",1
"81",3.48863622065323e-05,7.57953593660317e-06,1.90684969129763e-05,6.15343950561118e-05,"iter1","site81","site81_iter1","scenario4",1
"82",2.97884488102636e-05,0,9.05915135146088e-06,3.88476001617245e-05,"iter1","site82","site82_iter1","scenario4",1
"83",1.79275600328129e-05,3.05383469258273e-06,2.24360997968019e-05,4.34174945221976e-05,"iter1","site83","site83_iter1","scenario4",1
"84",4.25456403950554e-05,5.62319304258147e-05,3.64990589856332e-05,0.000135276629806503,"iter1","site84","site84_iter1","scenario4",1
"85",1.69605009973058e-05,0,7.12891897838108e-06,2.40894199756868e-05,"iter1","site85","site85_iter1","scenario4",1
"86",3.93507369604429e-05,3.78853378432761e-05,2.89111924583338e-05,0.000106147267262053,"iter1","site86","site86_iter1","scenario4",1
"87",1.28047244701367e-05,2.10625412174272e-06,2.31763040303531e-06,1.72286089949147e-05,"iter1","site87","site87_iter1","scenario4",0
"88",6.52108273782531e-05,0,0,6.52108273782531e-05,"iter1","site88","site88_iter1","scenario4",0
"89",0,3.15725360607359e-05,3.06065983817598e-06,3.46331958989119e-05,"iter1","site89","site89_iter1","scenario4",1
"90",6.94159337475486e-05,0,0,6.94159337475486e-05,"iter1","site90","site90_iter1","scenario4",0
"91",0,5.30767045651697e-05,0,5.30767045651697e-05,"iter1","site91","site91_iter1","scenario4",0
"92",0.000196052874681343,7.05631285791276e-06,3.61250717418805e-05,0.000239234259281136,"iter1","site92","site92_iter1","scenario4",1
"93",2.72959576962994e-05,0,7.43417317975248e-06,3.47301308760518e-05,"iter1","site93","site93_iter1","scenario4",1
"94",9.20549994768647e-05,0,0,9.20549994768647e-05,"iter1","site94","site94_iter1","scenario4",0
"95",4.26292691091604e-05,0,1.36395518327165e-05,5.62688209418769e-05,"iter1","site95","site95_iter1","scenario4",1
"96",5.28292872875879e-05,0,0,5.28292872875879e-05,"iter1","site96","site96_iter1","scenario4",0
"97",3.683842275351e-05,1.91935259980311e-05,2.09207642008563e-05,7.69527129523974e-05,"iter1","site97","site97_iter1","scenario4",1
"98",3.63335061357608e-05,3.5664951150298e-06,2.48860506337035e-05,6.47860518844941e-05,"iter1","site98","site98_iter1","scenario4",1
"99",5.81208193262654e-05,4.37048640139278e-05,1.18779182474322e-05,0.000113703601587625,"iter1","site99","site99_iter1","scenario4",1
"100",5.87781896036235e-05,3.53207708714821e-05,8.56381995663643e-06,0.000102662780431742,"iter1","site100","site100_iter1","scenario4",2
"101",1.98888095563417e-05,0,0,1.98888095563417e-05,"iter1","site101","site101_iter1","scenario4",0
"102",2.8043474564675e-05,6.51067017488738e-06,2.3192872950757e-05,5.77470176903194e-05,"iter1","site102","site102_iter1","scenario4",1
"103",1.67788270436991e-05,0,0,1.67788270436991e-05,"iter1","site103","site103_iter1","scenario4",0
"104",0.000207867095635151,0,4.9213136315847e-06,0.000212788409266735,"iter1","site104","site104_iter1","scenario4",0
"105",2.29467226377847e-05,0,8.91075331215459e-06,3.18574759499393e-05,"iter1","site105","site105_iter1","scenario4",1
"106",3.01328860670459e-05,0,2.00560977323338e-05,5.01889837993797e-05,"iter1","site106","site106_iter1","scenario4",1
"107",7.52124891745362e-05,0,2.3361412537044e-05,9.85739017115802e-05,"iter1","site107","site107_iter1","scenario4",1
"108",5.53949104552321e-05,3.78029796845522e-05,1.07946720063545e-05,0.000103992562146139,"iter1","site108","site108_iter1","scenario4",2
"109",0.000113590115615523,0,0,0.000113590115615523,"iter1","site109","site109_iter1","scenario4",0
"110",5.98749286736498e-05,5.16954258503154e-05,1.16766767961108e-05,0.000123247031320076,"iter1","site110","site110_iter1","scenario4",1
