"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.633920644677909,0,0,0.633920644677909,"iter_1",0.85,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario8",209
"2","2",0.56925615052973,0.0556546182016781,0,0.624910768731408,"iter_1",0.15,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario8",229
"3","1",0.616455565452231,0.00573588214944609,0,0.622191447601677,"iter_2",0.85,0.2,0.4,0.005,0,0,"spp1_iter_2","scenario8",196
"4","2",0.502361209778391,0.0821113065010661,0,0.584472516279457,"iter_2",0.15,0.2,0.4,0.005,0,0,"spp2_iter_2","scenario8",221
"5","1",0.609907585897096,0.0460576384592054,0,0.655965224356301,"iter_3",0.85,0.2,0.4,0.005,0,0,"spp1_iter_3","scenario8",225
"6","2",0.614878477596667,0.000863375514486509,0,0.615741853111154,"iter_3",0.15,0.2,0.4,0.005,0,0,"spp2_iter_3","scenario8",209
"7","1",0.5738176592719,0.0674648328999731,0,0.641282492171873,"iter_4",0.85,0.2,0.4,0.005,0,0,"spp1_iter_4","scenario8",201
"8","2",0.598610724485108,0.0192269885004154,0,0.617837712985523,"iter_4",0.15,0.2,0.4,0.005,0,0,"spp2_iter_4","scenario8",206
"9","1",0.522695459793605,0.074288925458005,0,0.59698438525161,"iter_5",0.85,0.2,0.4,0.005,0,0,"spp1_iter_5","scenario8",191
"10","2",0.398121936047199,0.156800760417521,0,0.55492269646472,"iter_5",0.15,0.2,0.4,0.005,0,0,"spp2_iter_5","scenario8",212
