"","env","spa","codist","r2","iteration","site","identifier","richness"
"161",5.67776554788264e-05,4.06819731572669e-05,0,9.74596286360933e-05,"iter1","site161","site161_iter1",0
"162",0.000143230020276346,0,0,0.000143230020276346,"iter1","site162","site162_iter1",1
"163",8.58293594838617e-06,0,0,8.58293594838617e-06,"iter1","site163","site163_iter1",0
"164",8.07644307738152e-05,0,0,8.07644307738152e-05,"iter1","site164","site164_iter1",1
"165",0.000145656648387974,3.13622950388963e-05,0,0.00017701894342687,"iter1","site165","site165_iter1",1
"166",4.7240325318281e-06,1.17893521626982e-05,0,1.65133846945263e-05,"iter1","site166","site166_iter1",0
"167",0.000214406690253849,0,0,0.000214406690253849,"iter1","site167","site167_iter1",1
"168",2.41455939833502e-05,6.95059979986689e-06,0,3.10961937832171e-05,"iter1","site168","site168_iter1",1
"169",6.48981310468518e-05,4.55601135395748e-05,0,0.000110458244586427,"iter1","site169","site169_iter1",0
"170",3.76416938767621e-05,2.55463872926453e-05,0,6.31880811694074e-05,"iter1","site170","site170_iter1",1
"171",1.47543765682035e-05,0,0,1.47543765682035e-05,"iter1","site171","site171_iter1",0
"172",6.34962813607272e-05,0,0,6.34962813607272e-05,"iter1","site172","site172_iter1",0
"173",0.00019238536652787,0.000104395275503012,0,0.000296780642030882,"iter1","site173","site173_iter1",0
"174",3.22041025198547e-05,2.00293171330784e-05,0,5.22334196529331e-05,"iter1","site174","site174_iter1",1
"175",0,1.45219593630603e-05,2.65280098672898e-06,1.71747603497893e-05,"iter1","site175","site175_iter1",0
"176",0.000123554803010783,4.73534772679492e-06,0,0.000128290150737578,"iter1","site176","site176_iter1",1
"177",2.5880897435535e-05,0,0,2.5880897435535e-05,"iter1","site177","site177_iter1",0
"178",6.91277484301869e-05,6.41275155239081e-06,0,7.55404999825777e-05,"iter1","site178","site178_iter1",1
"179",1.79442022559588e-05,1.53259210316976e-06,0,1.94767943591286e-05,"iter1","site179","site179_iter1",0
"180",0.000152038137022129,0,0,0.000152038137022129,"iter1","site180","site180_iter1",0
"181",4.71373928501372e-05,1.64801866185457e-05,0,6.36175794686829e-05,"iter1","site181","site181_iter1",0
"182",8.12655122255726e-05,0,0,8.12655122255726e-05,"iter1","site182","site182_iter1",1
"183",0.00012830273408504,0,0,0.00012830273408504,"iter1","site183","site183_iter1",1
"184",0,2.14342495459444e-05,4.23692273544075e-06,2.56711722813851e-05,"iter1","site184","site184_iter1",1
"185",0.00015417297940968,8.94906573194293e-06,1.91231386215556e-07,0.000163313276527838,"iter1","site185","site185_iter1",1
"186",6.95178923958322e-05,0,0,6.95178923958322e-05,"iter1","site186","site186_iter1",0
"187",5.03228950023288e-05,0,0,5.03228950023288e-05,"iter1","site187","site187_iter1",0
"188",5.80868765378969e-05,4.81682364820989e-06,0,6.29037001861068e-05,"iter1","site188","site188_iter1",1
"189",0.000216311062865804,5.97745970589958e-06,0,0.000222288522571703,"iter1","site189","site189_iter1",1
"190",1.22476058829524e-05,0,0,1.22476058829524e-05,"iter1","site190","site190_iter1",1
"191",5.09561929392187e-05,0,0,5.09561929392187e-05,"iter1","site191","site191_iter1",0
"192",1.91124375023712e-05,5.36628495803632e-05,0,7.27752870827344e-05,"iter1","site192","site192_iter1",0
"193",0.000116031390375008,0,0,0.000116031390375008,"iter1","site193","site193_iter1",1
"194",0.000123019586085827,0,0,0.000123019586085827,"iter1","site194","site194_iter1",0
"195",3.20279988921508e-05,0,0,3.20279988921508e-05,"iter1","site195","site195_iter1",0
"196",1.39504809449731e-05,5.42524124714378e-05,0,6.82028934164109e-05,"iter1","site196","site196_iter1",0
"197",0.000161653504541196,1.84679374879635e-05,0,0.000180121442029159,"iter1","site197","site197_iter1",0
"198",8.77647356230252e-05,7.69583135963899e-06,0,9.54605669826642e-05,"iter1","site198","site198_iter1",0
"199",2.9259500863027e-05,0,0,2.9259500863027e-05,"iter1","site199","site199_iter1",0
"200",8.58725196553416e-05,9.83330105257269e-06,0,9.57058207079143e-05,"iter1","site200","site200_iter1",1
"201",4.51240282351683e-05,0,0,4.51240282351683e-05,"iter1","site201","site201_iter1",1
"202",9.92658055514563e-05,3.11119722827215e-05,0,0.000130377777834178,"iter1","site202","site202_iter1",1
"203",0,2.48606012784293e-05,3.91593325558418e-06,2.87765345340134e-05,"iter1","site203","site203_iter1",0
"204",5.72997835397197e-05,0,0,5.72997835397197e-05,"iter1","site204","site204_iter1",0
"205",7.276563118397e-05,1.08344392315373e-05,0,8.36000704155073e-05,"iter1","site205","site205_iter1",1
"206",1.20675461383806e-05,2.03720608022858e-05,0,3.24396069406663e-05,"iter1","site206","site206_iter1",1
"207",0,3.16201053155902e-05,4.52089817583217e-06,3.61410034914223e-05,"iter1","site207","site207_iter1",0
"208",0.000120459380156356,0,0,0.000120459380156356,"iter1","site208","site208_iter1",1
"209",2.40134682129308e-05,0,0,2.40134682129308e-05,"iter1","site209","site209_iter1",0
"210",4.81897651890962e-05,0,0,4.81897651890962e-05,"iter1","site210","site210_iter1",0
"211",0.000240246520772587,1.48243093335647e-05,0,0.000255070830106152,"iter1","site211","site211_iter1",0
"212",0.000167040920648596,0,0,0.000167040920648596,"iter1","site212","site212_iter1",1
"213",7.76437975618503e-05,1.96024978349065e-05,0,9.72462953967569e-05,"iter1","site213","site213_iter1",1
"214",0.000137348358760348,0,0,0.000137348358760348,"iter1","site214","site214_iter1",1
"215",8.21298338486253e-05,0,0,8.21298338486253e-05,"iter1","site215","site215_iter1",0
"216",5.00106441810594e-05,2.42874739083862e-06,0,5.2439391571898e-05,"iter1","site216","site216_iter1",0
"217",2.32411964706334e-05,0,0,2.32411964706334e-05,"iter1","site217","site217_iter1",0
"218",0.000136741814925975,0,0,0.000136741814925975,"iter1","site218","site218_iter1",0
"219",0.000242178758060857,1.69726333376994e-05,0,0.000259151391398557,"iter1","site219","site219_iter1",1
"220",3.3231201919889e-06,0,1.27545104792159e-08,3.33587470246811e-06,"iter1","site220","site220_iter1",0
"221",0,1.25675485626284e-06,1.72037233030189e-06,2.97712718656473e-06,"iter1","site221","site221_iter1",0
"222",0.000108315027779656,0,0,0.000108315027779656,"iter1","site222","site222_iter1",1
"223",1.3015726642969e-05,0,0,1.3015726642969e-05,"iter1","site223","site223_iter1",0
"224",0,5.32962007245033e-05,1.06974406347058e-05,6.39936413592091e-05,"iter1","site224","site224_iter1",0
"225",0.000193288154951009,1.74571117037483e-05,0,0.000210745266654758,"iter1","site225","site225_iter1",1
"226",1.19453458257872e-05,2.25621709571364e-06,0,1.42015629215008e-05,"iter1","site226","site226_iter1",0
"227",5.20577938188305e-05,2.43132279402819e-06,0,5.44891166128587e-05,"iter1","site227","site227_iter1",0
"228",0.000213015512697002,0,0,0.000213015512697002,"iter1","site228","site228_iter1",1
"229",9.9883795105924e-06,0,0,9.9883795105924e-06,"iter1","site229","site229_iter1",0
"230",6.90909541713166e-05,0,0,6.90909541713166e-05,"iter1","site230","site230_iter1",0
"231",1.27229422492385e-05,2.95950832179864e-05,5.64046176257964e-06,4.79584872298045e-05,"iter1","site231","site231_iter1",0
"232",0.00013249366037443,0,0,0.00013249366037443,"iter1","site232","site232_iter1",0
"233",3.54528976918199e-05,2.45538550973061e-05,4.91502566122375e-07,6.04982553552484e-05,"iter1","site233","site233_iter1",1
"234",4.87910268615739e-05,0.000115629925359408,1.65125220396938e-06,0.000166072204424952,"iter1","site234","site234_iter1",1
"235",1.99988528353859e-05,0,0,1.99988528353859e-05,"iter1","site235","site235_iter1",0
"236",2.55992816799632e-06,0,1.00461417342869e-06,3.56454234142501e-06,"iter1","site236","site236_iter1",0
"237",3.40181303435702e-05,0,1.12271272610141e-06,3.51408430696716e-05,"iter1","site237","site237_iter1",0
"238",2.21333352269831e-06,4.61422050471272e-05,1.52161279373767e-06,4.98771513635632e-05,"iter1","site238","site238_iter1",0
"239",1.90518023747179e-06,1.89650682661659e-05,4.33097398937327e-06,2.5201222493011e-05,"iter1","site239","site239_iter1",0
"240",9.20825094806659e-06,2.59942857171381e-05,0,3.52025366652047e-05,"iter1","site240","site240_iter1",0
"241",6.96500010945608e-05,9.46555563888019e-05,0,0.000164305557483363,"iter1","site241","site241_iter1",1
"242",3.88255116874171e-06,9.81385860423568e-06,1.39926601875379e-06,1.50956757917312e-05,"iter1","site242","site242_iter1",0
"243",0.000151766037683329,0,0,0.000151766037683329,"iter1","site243","site243_iter1",1
"244",0.000123339028509635,0,1.66403996641162e-06,0.000125003068476046,"iter1","site244","site244_iter1",1
"245",3.23328641608708e-05,2.25383054552485e-05,0,5.48711696161193e-05,"iter1","site245","site245_iter1",1
"246",9.52050059902008e-05,4.23039321426352e-07,0,9.56280453116271e-05,"iter1","site246","site246_iter1",1
"247",2.31394133597694e-06,0,1.13390908170889e-06,3.44785041768583e-06,"iter1","site247","site247_iter1",0
"248",0.000140042188362516,0,0,0.000140042188362516,"iter1","site248","site248_iter1",0
"249",1.00163038117882e-05,0,0,1.00163038117882e-05,"iter1","site249","site249_iter1",0
"250",0.000167113623408775,0,0,0.000167113623408775,"iter1","site250","site250_iter1",0
"251",5.94359655512517e-05,1.77712921072975e-05,0,7.72072576585492e-05,"iter1","site251","site251_iter1",1
"252",0.000154322710268234,0,0,0.000154322710268234,"iter1","site252","site252_iter1",0
"253",7.75195735847508e-06,3.63542987835266e-05,0,4.41062561420016e-05,"iter1","site253","site253_iter1",0
"254",2.41608399806302e-05,6.94389780470436e-08,7.41540913809853e-07,2.49718198724871e-05,"iter1","site254","site254_iter1",1
"255",8.81583277434276e-06,0,0,8.81583277434276e-06,"iter1","site255","site255_iter1",0
"256",0.000162229683449386,0,0,0.000162229683449386,"iter1","site256","site256_iter1",0
"257",5.56504779012979e-05,0,0,5.56504779012979e-05,"iter1","site257","site257_iter1",1
"258",1.54300841187167e-05,3.73681431429493e-05,0,5.2798227261666e-05,"iter1","site258","site258_iter1",0
"259",1.18049479042898e-05,0,0,1.18049479042898e-05,"iter1","site259","site259_iter1",0
"260",0.000207287645647036,4.1219301635754e-06,0,0.000211409575810612,"iter1","site260","site260_iter1",1
"261",0,0.000111396214551594,9.61433004825876e-06,0.000121010544599853,"iter1","site261","site261_iter1",0
"262",3.64801809013831e-05,2.5796406411041e-05,0,6.22765873124241e-05,"iter1","site262","site262_iter1",0
"263",6.21897142028032e-05,1.53461956112964e-05,0,7.75359098140996e-05,"iter1","site263","site263_iter1",0
"264",8.76710596114676e-05,0.000208316332447688,0,0.000295987392059156,"iter1","site264","site264_iter1",1
"265",0.000110609362294947,0.000164851773813821,0,0.000275461136108768,"iter1","site265","site265_iter1",1
"266",0.000114991256020702,0,0,0.000114991256020702,"iter1","site266","site266_iter1",1
"267",0.00018303429748271,0,0,0.00018303429748271,"iter1","site267","site267_iter1",0
"268",6.61700092519471e-05,3.65837382943829e-06,0,6.98283830813854e-05,"iter1","site268","site268_iter1",0
"269",0,1.42448149302789e-06,0,1.42448149302789e-06,"iter1","site269","site269_iter1",0
"270",0.000101079335029487,0,0,0.000101079335029487,"iter1","site270","site270_iter1",1
"271",0.000243831331560753,8.97477480354116e-05,0,0.000333579079596165,"iter1","site271","site271_iter1",1
"272",6.64773810635947e-05,0,0,6.64773810635947e-05,"iter1","site272","site272_iter1",0
"273",1.68875932979238e-05,0,0,1.68875932979238e-05,"iter1","site273","site273_iter1",0
"274",0.000118454309803955,0,0,0.000118454309803955,"iter1","site274","site274_iter1",1
"275",4.8533211913693e-05,2.80780471073977e-05,0,7.66112590210907e-05,"iter1","site275","site275_iter1",0
"276",9.35086281812864e-05,0,0,9.35086281812864e-05,"iter1","site276","site276_iter1",0
"277",8.23231223938936e-05,4.28165519279319e-05,0,0.000125139674321826,"iter1","site277","site277_iter1",1
"278",0.00012537197180571,4.5736823694826e-05,0,0.000171108795500536,"iter1","site278","site278_iter1",1
"279",1.35074424889475e-06,5.32629021335049e-05,0,5.46136463823996e-05,"iter1","site279","site279_iter1",0
"280",8.54823681836197e-05,1.21837643292479e-05,0,9.76661325128675e-05,"iter1","site280","site280_iter1",1
"281",0.00018699199423719,0,0,0.00018699199423719,"iter1","site281","site281_iter1",0
"282",1.5619624269889e-05,4.17535252935579e-05,0,5.73731495634468e-05,"iter1","site282","site282_iter1",1
"283",0.000121711486115329,0,0,0.000121711486115329,"iter1","site283","site283_iter1",0
"284",9.55146871895137e-06,0,0,9.55146871895137e-06,"iter1","site284","site284_iter1",0
"285",0.000187524978070671,0,0,0.000187524978070671,"iter1","site285","site285_iter1",1
"286",0.000157109705639634,1.07210966480147e-05,0,0.000167830802287648,"iter1","site286","site286_iter1",1
