"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.414174816892561,0.234162991186156,0,0.648337808078716,"iter_1",0.1,0.2,0.4,0.005,1.5,1.5,"spp1_iter_1","scenario3",113
"2","2",0.323071971652876,0.33866031506264,0,0.661732286715516,"iter_1",0.157142857142857,0.2,0.4,0.005,1.5,1.5,"spp2_iter_1","scenario3",55
"3","3",0.50722066098332,0.138695642904915,0.0480696053161099,0.693985909204345,"iter_1",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp3_iter_1","scenario3",127
"4","4",0.352950571930781,0.283931727911686,0,0.636882299842467,"iter_1",0.271428571428571,0.2,0.4,0.005,1.5,1.5,"spp4_iter_1","scenario3",126
"5","5",0.360932942792031,0.35808362255306,0,0.719016565345091,"iter_1",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp5_iter_1","scenario3",142
"6","6",0.289831315399719,0.298216126531523,0.0342874935151471,0.62233493544639,"iter_1",0.385714285714286,0.2,0.4,0.005,1.5,1.5,"spp6_iter_1","scenario3",170
"7","7",0.188469236343209,0.448672488375039,0.063453872073594,0.700595596791842,"iter_1",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp7_iter_1","scenario3",149
"8","8",0.177162020579176,0.345014124009092,0.203995713556328,0.726171858144597,"iter_1",0.5,0.2,0.4,0.005,1.5,1.5,"spp8_iter_1","scenario3",163
"9","9",0.243729782660198,0.253156531810983,0.200731486272086,0.697617800743267,"iter_1",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp9_iter_1","scenario3",139
"10","10",0.269353604240754,0.336902857667469,0.135275243502357,0.741531705410581,"iter_1",0.614285714285714,0.2,0.4,0.005,1.5,1.5,"spp10_iter_1","scenario3",137
"11","11",0.369186924072831,0.211797793718631,0.176270568118204,0.757255285909667,"iter_1",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp11_iter_1","scenario3",173
"12","12",0.332320536488808,0.356828262882838,0.112116532570746,0.801265331942392,"iter_1",0.728571428571429,0.2,0.4,0.005,1.5,1.5,"spp12_iter_1","scenario3",133
"13","13",0.389386163347264,0.237518779352854,0.106943682813062,0.733848625513181,"iter_1",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp13_iter_1","scenario3",164
"14","14",0.322638430979463,0.273619404064366,0,0.596257835043829,"iter_1",0.842857142857143,0.2,0.4,0.005,1.5,1.5,"spp14_iter_1","scenario3",40
"15","15",0.639204698552369,0.0428060072232538,0.0555846555621017,0.737595361337724,"iter_1",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_1","scenario3",147
"16","1",0.479820937922578,0.199280839313072,0.0011220182266678,0.680223795462318,"iter_2",0.1,0.2,0.4,0.005,1.5,1.5,"spp1_iter_2","scenario3",146
"17","2",0.404825583179326,0.247510278273678,0,0.652335861453004,"iter_2",0.157142857142857,0.2,0.4,0.005,1.5,1.5,"spp2_iter_2","scenario3",60
"18","3",0.50932589962586,0.207459854748934,0.0139034896047713,0.730689243979565,"iter_2",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp3_iter_2","scenario3",156
"19","4",0.366766206181056,0.378176593146262,0,0.744942799327318,"iter_2",0.271428571428571,0.2,0.4,0.005,1.5,1.5,"spp4_iter_2","scenario3",113
"20","5",0.420105503569077,0.246404428047952,0.0538091492408863,0.720319080857915,"iter_2",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp5_iter_2","scenario3",172
"21","6",0.220506920802478,0.308571955024582,0.0980057134268019,0.627084589253862,"iter_2",0.385714285714286,0.2,0.4,0.005,1.5,1.5,"spp6_iter_2","scenario3",104
"22","7",0.336845837988581,0.172550350751447,0.263884101875027,0.773280290615055,"iter_2",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp7_iter_2","scenario3",186
"23","8",0.246969878230947,0.319158500665811,0.1109275937874,0.677055972684158,"iter_2",0.5,0.2,0.4,0.005,1.5,1.5,"spp8_iter_2","scenario3",115
"24","9",0.230834629863546,0.272389987316775,0.190403689517554,0.693628306697875,"iter_2",0.557142857142857,0.2,0.4,0.005,1.5,1.5,"spp9_iter_2","scenario3",150
"25","10",0.364265936873619,0.280076752172335,0.106388615651019,0.750731304696973,"iter_2",0.614285714285714,0.2,0.4,0.005,1.5,1.5,"spp10_iter_2","scenario3",133
"26","11",0.379091939215028,0.235707267103417,0.125170579295996,0.739969785614442,"iter_2",0.671428571428571,0.2,0.4,0.005,1.5,1.5,"spp11_iter_2","scenario3",141
"27","12",0.397646797383601,0.321809122081031,0.0261732308371012,0.745629150301733,"iter_2",0.728571428571429,0.2,0.4,0.005,1.5,1.5,"spp12_iter_2","scenario3",131
"28","13",0.494799322404279,0.198785580579724,0.0141877839979262,0.707772686981929,"iter_2",0.785714285714286,0.2,0.4,0.005,1.5,1.5,"spp13_iter_2","scenario3",115
"29","14",0.274712676082132,0.374772063873139,0,0.649484739955271,"iter_2",0.842857142857143,0.2,0.4,0.005,1.5,1.5,"spp14_iter_2","scenario3",47
"30","15",0.594293888814032,0.123165691652719,0.00895777295459832,0.726417353421349,"iter_2",0.9,0.2,0.4,0.005,1.5,1.5,"spp15_iter_2","scenario3",146
"31","1",0.668286624344515,0.0838228227302188,0.0189214820458735,0.771030929120608,"iter_3",0.1,0.2,0.4,0.005,1.5,1.5,"spp1_iter_3","scenario3",148
"32","2",0.377694539709403,0.187565753797079,0,0.565260293506482,"iter_3",0.157142857142857,0.2,0.4,0.005,1.5,1.5,"spp2_iter_3","scenario3",36
"33","3",0.598887948235678,0.151334024510707,0.0425498264213253,0.792771799167711,"iter_3",0.214285714285714,0.2,0.4,0.005,1.5,1.5,"spp3_iter_3","scenario3",156
"34","4",0.319983520384546,0.353374587845254,0.0541676122725021,0.727525720502302,"iter_3",0.271428571428571,0.2,0.4,0.005,1.5,1.5,"spp4_iter_3","scenario3",113
"35","5",0.413844653106879,0.25719280928164,0.138558934220248,0.809596396608768,"iter_3",0.328571428571429,0.2,0.4,0.005,1.5,1.5,"spp5_iter_3","scenario3",171
"36","6",0.271508402458113,0.302738097635005,0.153808569699974,0.728055069793093,"iter_3",0.385714285714286,0.2,0.4,0.005,1.5,1.5,"spp6_iter_3","scenario3",151
"37","7",0.22392435711699,0.327531478421835,0.152603623006784,0.704059458545609,"iter_3",0.442857142857143,0.2,0.4,0.005,1.5,1.5,"spp7_iter_3","scenario3",151
