"","species","env","spa","codist","r2","iteration","nicheOpt","nicheBreadth","colProb","dispersal","intercol","interext","identifier","scenario","prevalence"
"1","1",0.476774634459161,0.136325612349008,0.0358098878491077,0.648910134657277,"iter_1",0.1,0.2,0.4,0.005,0,0,"spp1_iter_1","scenario1",180
"2","2",0.576271379696192,0.11221378403998,0.0372563875193057,0.725741551255478,"iter_1",0.157142857142857,0.2,0.4,0.005,0,0,"spp2_iter_1","scenario1",197
"3","3",0.692215288451877,0.0768757863639523,0.0144822778600368,0.783573352675866,"iter_1",0.214285714285714,0.2,0.4,0.005,0,0,"spp3_iter_1","scenario1",286
"4","4",0.625171637658444,0.0784818361931513,0.0698486736024696,0.773502147454064,"iter_1",0.271428571428571,0.2,0.4,0.005,0,0,"spp4_iter_1","scenario1",308
"5","5",0.573290176188114,0.113914750501892,0.0711625239451801,0.758367450635186,"iter_1",0.328571428571429,0.2,0.4,0.005,0,0,"spp5_iter_1","scenario1",344
"6","6",0.503781000441112,0.11183506757028,0.0764328095073312,0.692048877518723,"iter_1",0.385714285714286,0.2,0.4,0.005,0,0,"spp6_iter_1","scenario1",341
"7","7",0.467252952797767,0.0909194181858768,0.224100627289478,0.782272998273121,"iter_1",0.442857142857143,0.2,0.4,0.005,0,0,"spp7_iter_1","scenario1",395
"8","8",0.384527959865467,0.110033438512251,0.121023735034421,0.615585133412139,"iter_1",0.5,0.2,0.4,0.005,0,0,"spp8_iter_1","scenario1",350
"9","9",0.436950902819571,0.123051280944377,0.0363704564874645,0.596372640251412,"iter_1",0.557142857142857,0.2,0.4,0.005,0,0,"spp9_iter_1","scenario1",365
"10","10",0.460573890880021,0.137079551997032,0.0422195903228495,0.639873033199903,"iter_1",0.614285714285714,0.2,0.4,0.005,0,0,"spp10_iter_1","scenario1",341
"11","11",0.579474238326923,0.0974349538531052,0.0270375932187454,0.703946785398774,"iter_1",0.671428571428571,0.2,0.4,0.005,0,0,"spp11_iter_1","scenario1",372
"12","12",0.608383985988709,0.0704151461948274,0.0463893865839207,0.725188518767457,"iter_1",0.728571428571429,0.2,0.4,0.005,0,0,"spp12_iter_1","scenario1",316
